Traffic_Light_State,Weather_Condition,Traffic_Condition,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h
Green,Clear,High,4.079.310.540.358.330,-7.384.590.539.200.810,234,4.141.097.339.677.950,7.761.509.922.102.520,0,48.123.982.557.412.000,42,40,31.436.578.387.447.100,"203192529878687000,00%"
Red,Snow,High,4.078.649.709.518.660,-738.856.828.022.027,165,17.962.877.288.927.900,6.345.427.264.315.680,0,677.958.247.737.636,43,29,3.253.681.301.038.190,"2437269595764060000,00%"
Yellow,Rain,High,4.064.852.325.298.130,-7.387.442.712.509.640,21,5.063.578.246.863.960,52.781.220.294.420.500,0,-8.237.109.833.813.050,43,6,45.329.422.815.576.400,"5731514180970880000,00%"
Yellow,Snow,High,4.072.181.992.450.300,-7.371.313.510.007.970,53,4.045.791.926.451.850,5.980.029.716.278.750,1,6.845.570.828.176.100,55,24,15.280.198.786.349.100,"2006654648167600000,00%"
Yellow,Clear,High,4.076.656.883.414.020,-7.393.113.077.260.400,22,68.866.327.021.544.900,60.108.063.543.272.800,1,-5.977.887.738.895.360,87,48,31.187.215.609.956.900,"764551252790348000,00%"
Green,Fog,High,40.819.322.021.934.900,-7.372.341.184.333.110,271,15.248.899.196.873.100,8.102.468.279.914.090,0,47.962.370.894.099.900,80,28,42.619.760.174.684.100,"810845905015759000,00%"
Green,Rain,High,4.063.206.949.574.610,-7.389.164.015.877.140,57,228.471.084.763.873,819.652.092.554.664,0,1.536.977.735.391.680,89,4,2.900.025.233.466.780,"1688177268098220000,00%"
Green,Fog,High,4.082.463.596.414.450,-7.375.635.524.087.690,140,38.185.633.022.479.000,934.301.117.222.046,0,9.287.722.825.970.190,97,32,17.183.350.900.539.100,"1568819831749450000,00%"
Red,Rain,High,4.077.679.164.177.490,-7.391.013.355.512.180,249,748.748.930.853.192,585.010.581.163.816,0,854.821.352.632.602,70,9,4.999.226.630.053.210,"2274144239855390000,00%"
Yellow,Fog,High,4.066.197.554.017.520,-7.381.274.839.314.220,104,11.157.232.097.065.300,4.359.542.983.387.610,0,-20.575.050.758.567.400,85,41,31.149.826.053.343.100,"1402441783044040000,00%"
Green,Snow,High,4.080.329.893.902.170,-738.028.772.885.441,256,2.179.119.911.703.280,12.159.168.422.293.100,1,-4.051.115.975.997.040,5,29,5.013.685.533.232.070,"850753374185520000,00%"
Yellow,Snow,High,4.071.333.223.428.240,-738.472.173.762.531,207,3.985.502.261.864.380,684.281.265.097.885,0,46.889.286.512.598.400,93,16,24.256.689.193.891.500,"1347934232186220000,00%"
Green,Rain,High,406.104.162.555.427,-7.387.434.586.534.300,283,22.254.360.823.332.000,4.201.213.177.183.800,0,15.902.634.609.280.400,14,19,490.901.353.023.682,"2151965311768510000,00%"
Red,Clear,High,4.088.664.677.404.250,-7.387.220.946.681.340,265,11.422.487.032.761.400,5.115.272.120.414.060,0,-43.129.905.759.136.700,71,3,4.890.333.505.838.620,"1679951868858610000,00%"
Green,Fog,High,4.068.269.359.877.320,-738.301.745.907.258,258,20.853.414.052.924.300,140.741.159.963.838,0,-5.680.185.654.609.010,52,27,18.920.811.113.209.700,"1754853164950700000,00%"
Red,Clear,High,4.087.687.007.843.540,-7.380.264.664.583.380,289,522.251.990.246.464,5.848.788.388.377.040,0,7.100.786.954.325.750,50,41,1.822.180.954.409.300,"1197005719923760000,00%"
Green,Fog,High,40.636.502.607.110.300,-7.395.363.860.632.010,272,26.368.234.338.264.200,354.519.584.495.504,0,43.532.804.354.637.800,60,18,130.072.349.494.528,"1527022412694650000,00%"
Yellow,Rain,High,4.067.209.244.777.570,-7.370.581.527.954.320,33,19.298.277.464.835.600,60.440.280.413.880.100,0,8.656.810.451.082.180,23,19,7.301.255.552.214.430,"2947564148356640000,00%"
Yellow,Clear,High,40.827.226.850.051.100,-738.447.072.506.289,25,5.051.262.680.054.340,8.236.364.443.350.160,0,696.046.719.512.069,58,26,20.840.404.929.413.900,"1348348947311860000,00%"
Yellow,Snow,High,40.887.848.260.705.200,-7.392.676.770.231.380,282,6.037.163.727.020.880,44.570.374.874.175.700,1,-6.435.891.083.342.410,80,49,23.418.045.510.975.300,"602343651852520000,00%"
Red,Fog,High,4.069.303.074.295.780,-738.435.838.093.212,239,12.361.668.039.236.900,9.579.951.223.002.750,0,49.401.916.064.790.800,96,28,20.826.005.884.294.600,"1705705470588600000,00%"
Yellow,Clear,High,4.072.392.661.663.470,-7.399.562.422.737.260,123,17.496.078.639.479.900,8.163.075.582.747.150,0,6.483.898.694.023.800,48,18,16.466.891.712.174.800,"191488193792732000,00%"
Red,Clear,High,40.838.872.686.020.400,-7.392.449.177.767.510,196,3.361.982.296.189.410,9.026.983.778.078.410,0,-2.969.861.316.756.600,14,5,5.461.294.563.224.920,"2068468496203020000,00%"
Red,Fog,High,4.065.211.265.267.160,-738.567.629.527.003,211,17.606.825.147.813.600,9.597.642.234.065.650,0,6.808.050.108.064.400,80,5,3.609.332.992.932.800,"255106362763380000,00%"
Red,Fog,High,4.073.037.656.858.970,-7.377.175.933.437.620,242,6.955.565.328.847.460,2.673.956.606.087.560,0,7.129.204.925.864.720,48,45,18.698.996.276.691.800,"944174019412269000,00%"
Green,Clear,High,40.610.274.889.300.800,-7.379.997.907.051.080,202,19.373.712.607.730.100,3.499.875.117.332.400,0,709.538.316.705.693,83,4,1.316.093.808.191.930,"1326583601322940000,00%"
Red,Rain,High,4.075.549.180.191.730,-7.387.532.919.250.350,183,13.637.299.081.457.600,24.440.039.727.384.400,0,3.295.418.307.516.140,63,3,46.101.899.195.464.000,"227221977330969000,00%"
Green,Rain,High,40.611.249.042.062.600,-7.375.298.738.646.320,282,4.586.982.157.253.060,9.930.680.417.757.690,0,-822.007.876.674.892,93,37,4.641.809.945.611.750,"156599077528313000,00%"
Red,Fog,High,4.076.975.447.361.950,-7.391.430.185.098.450,249,19.139.369.761.186.400,5.713.926.814.026.940,0,-9.856.790.290.459.870,19,7,2.303.241.447.605.150,"22407217312833700,00%"
Yellow,Fog,High,40.770.954.763.313.800,-7.389.076.531.571.720,244,60.216.394.730.784.800,8.895.841.640.298.330,0,2.965.547.246.641.180,40,13,35.819.777.469.375.700,"2579828639475220000,00%"
Red,Snow,High,40.788.005.953.473.400,-7.393.757.804.918.440,265,5.830.301.018.193.150,6.331.338.509.248.570,0,5.807.866.017.318.710,2,47,29.653.291.128.233.500,"881148932710120000,00%"
Red,Clear,High,40.792.367.139.468.800,-7.381.354.647.868.970,159,45.569.666.115.115.500,9.649.368.788.953.410,0,8.776.443.502.242.180,40,22,3.148.864.002.988.750,"1993326390623790000,00%"
Green,Snow,High,4.086.175.238.473.400,-7.389.328.585.869.260,230,38.281.404.773.183.400,9.388.642.273.887.890,0,779.513.702.421.418,78,35,43.720.301.443.917.100,"1482714083757210000,00%"
Yellow,Clear,High,4.073.348.874.018.680,-7.377.230.627.964.690,167,5.903.629.126.700.870,9.794.822.631.318.570,0,3.338.177.885.744.770,45,17,4.717.627.739.392.130,"2888565244339600000,00%"
Green,Rain,High,4.063.624.321.697.110,-7.376.031.525.520.610,253,5.160.033.643.643.780,883.887.854.323.482,0,-5.315.338.137.368.560,25,3,12.156.312.685.627.200,"220964523149475000,00%"
Red,Clear,High,40.868.434.718.894.900,-7.395.142.736.521.150,99,1.706.713.705.761.730,9.218.100.741.581.970,0,4.442.534.351.049.040,68,7,3.620.495.026.549.850,"1928061990722920000,00%"
Red,Rain,High,4.065.825.492.438.480,-7.382.703.603.743.540,144,681.135.140.858.419,9.755.810.704.870.890,0,4.036.735.700.996.370,3,9,23.113.307.883.165.700,"1069070609818670000,00%"
Yellow,Clear,High,4.080.738.055.131.430,-739.623.843.192.527,82,3.562.701.726.923.050,8.527.808.647.915.430,1,13.374.699.627.027.600,9,35,46.174.401.480.477.500,"954483468518019000,00%"
Yellow,Fog,High,40.899.710.717.821.900,-7.385.446.541.932.780,267,3.670.871.708.222.030,8.861.994.534.315.600,0,8.231.223.600.095.200,98,15,1.999.275.372.597.830,"2392395459685990000,00%"
Green,Fog,High,40.644.279.762.768,-7.388.425.181.531.030,91,5.308.951.206.392.370,9.062.114.278.812.120,0,4.010.559.108.362.250,34,40,4.871.233.118.153.250,"22958197170313700,00%"
Green,Snow,High,40.756.525.747.119.400,-7.398.797.496.260.670,283,21.756.678.532.281.500,47.994.095.074.833.600,0,3.096.554.783.917.470,49,16,45.654.686.600.804.300,"1505471516534820000,00%"
Green,Fog,High,408.291.983.952.506,-7.397.908.419.762.150,252,7.491.504.283.692.410,5.182.017.195.350.330,0,-3.750.570.060.992.110,74,0,5.683.405.920.786.360,"1837159884741870000,00%"
Yellow,Clear,High,4.065.441.790.897.840,-7.399.561.372.346.850,51,15.264.057.815.577.600,26.301.830.785.503.800,0,8.857.341.028.256.350,62,2,10.268.464.254.412.700,"1138656177788580000,00%"
Red,Rain,High,40.631.328.205.293.000,-7.376.020.649.144.200,119,50.505.556.336.860.400,8.139.681.211.993.260,0,-7.033.694.044.527.490,2,13,351.369.728.341.852,"201833703115914000,00%"
Red,Snow,High,40.842.075.346.374.900,-7.391.307.548.207.600,212,53.156.262.571.895.700,9.612.165.759.957.300,0,-3.746.437.419.990.850,37,0,42.714.070.532.858.100,"1098151228712590000,00%"
Yellow,Snow,High,4.071.078.634.480.480,-7.377.791.674.734.910,255,23.129.733.600.382.400,3.308.811.082.998.940,0,-2.800.205.850.842.630,48,22,19.637.717.996.596.700,"1706697345692690000,00%"
Yellow,Rain,High,40.806.207.631.770.400,-7.393.054.682.479.470,119,4.815.500.349.850.550,972.987.700.860.297,0,-4.751.735.336.522.220,75,6,45.252.878.384.629.900,"2300138543587330000,00%"
Yellow,Clear,High,40.682.830.219.205.100,-739.572.091.164.566,104,19.316.403.027.432.800,6.559.111.502.001.710,0,804.482.109.831.941,43,0,5.312.016.657.270.790,"2722635280295760000,00%"
Yellow,Fog,High,4.071.666.388.260.980,-7.398.767.237.552.660,28,9.123.860.999.304.770,47.462.655.880.416.700,1,24.492.866.367.107.600,86,41,3.046.585.152.032.700,"111577386551657000,00%"
Red,Rain,High,40.882.973.047.151.600,-7.394.610.346.280.240,172,34.514.284.281.341.000,5.102.910.092.391.170,1,-21.765.045.965.414.300,99,1,1.302.738.549.373.780,"2456348901823950000,00%"
Yellow,Rain,High,4.072.627.974.864.510,-7.376.531.982.370.820,259,28.169.297.086.084.600,11.824.812.489.532.600,0,9.450.045.483.881.320,52,40,12.598.827.644.660.200,"1211494483599900000,00%"
Green,Snow,High,4.065.301.752.362.900,-7.380.270.586.137.050,279,41.970.126.225.975.900,8.549.587.266.180.590,0,-17.375.252.576.517.400,24,11,8.105.253.749.015.690,"15830280030319700,00%"
Yellow,Snow,High,4.068.629.101.387.480,-7.399.557.618.240.250,75,315.162.472.832.032,8.131.115.938.999.140,1,-23.739.699.976.203.100,47,24,3.741.415.423.603.660,"570158383766964000,00%"
Green,Snow,High,40.720.593.803.695.200,-737.466.927.706.511,163,69.142.745.354.098,9.100.094.500.686.100,0,6.543.050.675.328.530,8,29,7.536.920.523.063.860,"1306642674478730000,00%"
Yellow,Snow,High,40.733.145.248.637.200,-7.370.812.328.974.080,120,62.416.528.022.476.300,9.145.545.207.416.870,1,-3.211.411.028.260.710,95,16,24.013.686.851.500.500,"219817681771036000,00%"
Yellow,Fog,High,40.836.641.396.957.000,-739.098.911.785.105,295,732.481.039.584.444,17.353.916.510.088.500,0,4.462.661.993.334.910,76,16,15.457.795.149.592.000,"1751321830695700000,00%"
Red,Rain,High,4.081.286.740.731.940,-7.385.546.931.700.360,240,7.172.037.176.311.640,51.827.313.493.013.600,1,-10.417.141.929.427.300,62,14,4.159.720.848.736.580,"2676075036502180000,00%"
Yellow,Fog,High,4.063.148.371.188.830,-7.371.118.301.671.270,68,152.005.733.391.281,5.796.413.681.457.630,0,-9.403.978.733.483.040,89,23,4.147.084.590.554.010,"1804550165085570000,00%"
Red,Snow,High,4.063.975.645.639.700,-7.380.902.976.698.250,274,5.866.834.973.597.310,888.955.147.713.362,0,-661.385.620.126.159,1,38,30.348.322.970.774.000,"1468462009357160000,00%"
Green,Rain,High,4.061.289.916.521.700,-7.385.855.402.369.060,76,9.475.804.656.665.210,9.096.031.094.847.280,0,9.836.696.991.118.630,87,11,10.034.694.520.674.300,"268535199310259000,00%"
Green,Fog,High,40.724.741.638.140.200,-739.044.802.106.121,272,172.770.310.862.982,6.410.419.699.219.570,0,8.136.648.662.331.450,61,24,2.699.494.036.164.730,"2570285380160540000,00%"
Red,Clear,High,4.072.121.770.237.220,-7.397.768.162.029.040,259,2.082.024.586.503.370,7.122.080.068.933.220,0,-5.566.066.289.637.540,92,11,8.558.975.938.535.140,"22264374635644900,00%"
Green,Fog,High,4.072.233.941.398.230,-738.057.985.393.314,36,48.090.323.173.316.400,45.668.848.755.890.100,1,-8.654.750.262.421.950,41,6,17.206.465.946.178.300,"2399126962633560000,00%"
Yellow,Clear,High,4.089.051.547.160.790,-737.962.557.370.904,83,5.855.124.961.975.060,8.568.454.826.171.750,0,580.861.452.997.339,84,1,35.254.200.169.285.800,"2207821324584780000,00%"
Green,Fog,High,4.086.555.017.088.440,-7.391.527.327.532.130,299,23.867.880.773.608.200,7.845.988.109.665.140,0,17.171.225.123.252.900,11,16,19.061.875.442.501.100,"1941849517982610000,00%"
Red,Fog,High,40.766.135.729.370.000,-7.375.305.804.378.990,28,7.163.770.374.814.380,18.118.362.733.057.900,0,-54.600.434.577.216.100,4,19,54.853.593.002.080.900,"2311161595539130000,00%"
Green,Snow,High,4.077.251.973.448.590,-7.370.544.897.276.040,211,3.613.191.052.443.790,715.361.022.706.807,0,-9.162.093.190.660.660,88,27,33.863.075.906.996.900,"2325752239701620000,00%"
Yellow,Snow,High,4.073.429.684.508.070,-7.389.899.491.357.150,281,7.243.345.898.724.500,4.286.304.366.992.940,0,-484.043.378.191.203,62,19,31.884.541.293.059.500,"2817386921217970000,00%"
Yellow,Rain,High,4.087.589.796.309.240,-737.429.690.906.304,265,29.021.061.053.773.400,7.070.651.142.472.180,0,-1.786.624.776.517.320,39,12,3.745.105.905.344.670,"1920908779960650000,00%"
Red,Rain,High,40.851.912.261.759.300,-7.391.561.281.106.810,206,7.938.690.525.294.770,7.877.118.263.647.600,1,-5.596.587.446.152.340,6,33,33.725.446.234.935.500,"2596121610172850000,00%"
Yellow,Snow,High,4.075.548.575.334.790,-7.392.886.463.676.460,106,7.116.711.918.783.940,8.153.763.146.701.620,1,5.525.401.453.183.220,82,25,33.905.765.033.918.800,"1114892075051720000,00%"
Yellow,Fog,High,4.061.944.724.368.620,-738.584.347.779.683,132,14.006.897.976.572.400,9.472.157.088.035.080,0,-5.446.424.612.727.510,84,30,3.938.855.961.334.580,"234698096930230000,00%"
Red,Clear,High,4.067.317.818.353.290,-7.398.937.538.450.990,259,6.037.496.857.020.500,3.361.374.605.432.370,0,649.885.460.883.437,98,45,46.081.316.630.617.100,"1112317740009710000,00%"
Red,Clear,High,4.065.779.344.338.150,-7.389.825.881.689.810,285,3.071.655.633.629.110,8.040.083.952.585.350,0,-48.714.648.605.998.600,24,40,42.683.475.913.724.500,"2944336250359540000,00%"
Green,Rain,High,40.700.651.823.251.200,-7.375.420.847.420.910,226,7.581.537.993.191.950,29.488.099.355.371.800,1,35.039.648.231.409.900,20,45,5.986.987.454.493.550,"1701226671582020000,00%"
Red,Clear,High,406.964.414.109.091,-7.398.307.264.071.330,24,17.804.800.450.347.000,797.909.654.615.005,0,7.430.276.956.223.950,50,37,3.109.810.284.899.970,"281403739826288000,00%"
Green,Fog,High,40.611.346.832.829.000,-7.396.163.169.282.470,297,1.665.471.496.735.810,47.273.881.272.171.200,0,-8.126.545.410.846.200,25,3,2.677.844.819.257.110,"1413257400841380000,00%"
Red,Clear,High,40.728.673.326.429.900,-7.383.811.644.692.100,74,12.523.140.004.632.900,4.958.356.449.500.040,0,6.682.558.777.208.070,60,27,27.097.251.691.176.300,"1201356656214340000,00%"
Red,Snow,High,40.704.676.124.189.800,-7.383.755.061.838.480,276,759.347.168.587.518,5.576.141.410.063.730,0,-19.027.630.619.450.900,78,7,18.879.632.057.291.700,"1856340832806820000,00%"
Yellow,Clear,High,40.622.786.109.474.100,-7.386.511.800.586.180,71,7.492.589.082.150.510,9.093.194.491.285.210,0,1.271.381.552.540.990,65,28,3.169.892.539.717.150,"2749071215955970000,00%"
Red,Clear,High,40.797.338.233.335.600,-738.477.694.273.002,168,25.278.700.170.372.100,9.240.192.153.580.370,0,13.206.011.139.891.500,67,41,15.910.747.710.387.000,"1363789442780510000,00%"
Red,Fog,High,4.060.165.269.573.130,-7.393.973.747.611.170,128,706.709.719.628.159,42.603.109.199.018.800,1,-24.925.703.710.266.300,90,32,3.292.236.521.068.250,"2788392464206830000,00%"
Green,Snow,High,4.081.915.314.461.400,-7.377.517.343.159.740,115,61.292.671.269.828.100,5.147.608.083.965.630,1,1.070.566.099.231.590,3,37,15.164.731.691.142.200,"2933539129181560000,00%"
Red,Clear,High,40.802.047.280.360.100,-7.372.360.096.249.650,219,6.639.280.153.407.170,877.323.119.521.948,0,9.358.584.322.468.790,85,36,10.903.001.382.479.100,"1611742785819540000,00%"
Red,Rain,High,4.060.630.251.142.720,-7.390.983.246.220.270,55,695.345.681.529.397,842.176.790.938.947,0,-6.568.584.165.935.640,50,25,61.110.683.951.180.300,"299270031596901000,00%"
Yellow,Fog,High,4.065.015.062.572.170,-737.905.788.100.667,60,8.418.055.098.547.600,12.801.335.395.702.900,0,7.968.572.061.432.650,39,26,5.531.344.296.559.350,"2880342148439680000,00%"
Red,Clear,High,4.081.306.380.992.640,-7.399.299.607.977.240,236,6.113.514.512.331.790,3.690.603.177.440.670,0,9.038.659.622.612.070,15,30,42.763.634.018.562.800,"2593312249334260000,00%"
Red,Clear,High,4.077.110.615.245.460,-7.390.384.673.417.530,62,19.358.020.113.460.500,347.213.005.923.803,0,11.280.293.062.773.900,25,34,8.041.196.577.796.950,"1967769849321030000,00%"
Green,Snow,High,4.072.553.245.106.100,-7.375.018.917.043.020,288,7.449.950.407.456.550,22.938.206.839.395.900,0,7.258.565.998.458.360,39,22,2.810.688.199.243.400,"2862796861858470000,00%"
Red,Fog,High,4.070.282.315.063.170,-7.375.727.242.836.370,244,9.062.746.351.183.960,5.651.528.427.012.840,0,-9.576.156.905.566.120,19,17,7.095.587.436.034.670,"2619131623149620000,00%"
Red,Rain,High,4.089.382.858.287.560,-7.380.549.964.502.460,52,6.304.276.629.501.970,8.809.022.945.366.480,0,6.509.041.942.361.240,87,5,49.673.066.202.936.600,"2255859851668780000,00%"
Yellow,Snow,High,40.794.907.681.810.000,-7.375.343.779.265.830,226,7.213.110.058.309.280,6.603.773.492.904.580,0,-3.284.889.190.856.670,77,13,4.784.561.473.348.880,"239519880113215000,00%"
Red,Rain,High,4.070.829.188.490.810,-739.902.772.404.534,208,20.836.002.672.203.100,9.553.686.498.121.090,0,-27.080.803.809.957.700,45,7,19.098.831.380.389.300,"1391891215221600000,00%"
Yellow,Clear,High,4.089.279.375.613.410,-7.386.348.393.310.030,236,5.182.457.519.203.380,10.524.715.408.122.800,0,545.211.012.667.721,29,42,19.228.912.869.461.600,"2911282845462690000,00%"
Red,Rain,High,40.725.095.212.785.400,-7.370.074.630.235.720,282,13.173.629.232.182.500,7.058.433.803.035.650,0,-7.434.393.590.230.500,20,34,29.294.850.941.799.200,"294692720916891000,00%"
Green,Clear,High,4.063.369.444.741.240,-7.376.380.325.170.710,215,4.437.902.906.654.740,21.962.139.152.710.200,0,22.162.580.889.152.000,73,30,13.467.186.441.927.800,"1102732214708780000,00%"
Yellow,Fog,High,4.088.319.235.825.620,-737.654.842.439.257,282,2.759.735.478.941.720,418.506.924.104.276,0,-8.224.844.991.119.060,69,0,20.978.272.960.456.400,"2014250971129720000,00%"
Yellow,Rain,High,40.749.928.797.811.800,-7.375.861.724.056.160,256,5.305.418.982.178.360,5.158.475.403.337.870,0,5.459.967.218.525.650,56,22,12.061.075.264.818.500,"1720064776859470000,00%"
Red,Fog,High,408.470.170.277.813,-7.375.318.892.696.910,34,2.620.132.842.652.640,8.838.094.726.588.900,0,942.454.031.381.956,81,11,2.931.029.204.348.770,"1352241661845860000,00%"
Yellow,Clear,High,4.068.638.182.271.320,-7.391.482.370.241.470,24,6.002.710.545.223.950,870.922.373.813.782,0,-1.409.291.795.700.020,47,42,4.191.012.313.894.270,"861566016918406000,00%"
Red,Clear,High,4.072.992.233.459.800,-7.399.319.065.024.610,259,60.314.182.697.240.900,3.756.210.527.494.510,0,6.087.946.237.752.890,68,37,30.789.595.193.204.700,"175136123174568000,00%"
Yellow,Rain,High,4.071.391.413.021.770,-7.374.426.879.309.830,294,21.481.951.969.219.100,3.724.214.981.326.870,0,2.313.690.287.663.970,61,34,48.265.179.672.397.400,"211268679147668000,00%"
Red,Clear,High,4.080.909.576.593.760,-7.393.660.425.124.200,247,6.183.791.995.517.850,8.025.566.227.063.730,0,2.773.131.016.871.510,43,10,49.720.369.854.006.300,"1178662588400180000,00%"
Yellow,Fog,High,4.073.240.738.208.880,-7.381.763.151.930.060,265,30.411.398.191.961.500,9.455.790.613.492.090,1,-20.455.934.674.749.700,8,7,52.797.911.708.285.200,"2213059308491090000,00%"
Green,Rain,High,4.081.604.477.964.140,-7.394.551.291.544.030,221,5.687.284.398.306.570,3.419.962.508.475.090,0,786.378.947.876.224,58,17,3.059.728.769.335.500,"1330989321388950000,00%"
Yellow,Rain,High,4.068.232.973.887.330,-7.370.448.491.449.830,252,10.944.473.993.774.000,3.463.926.311.697.550,0,-6.877.426.281.430.920,66,41,9.399.670.517.174.280,"1859070132285270000,00%"
Green,Rain,High,4.061.963.669.818.670,-7.395.881.152.642.000,199,1.352.369.276.346.210,4.784.938.332.592.700,0,4.844.980.622.384.150,69,29,44.823.146.860.024.400,"2038437915546940000,00%"
Yellow,Fog,High,4.064.080.098.477.390,-7.376.311.306.381.090,213,4.703.134.710.799.850,3.847.214.304.927.780,0,-36.449.124.147.192.800,86,37,27.835.572.005.054.700,"2358436889134020000,00%"
Yellow,Snow,High,4.082.111.223.208.220,-7.399.255.899.978.900,158,39.105.243.648.829.900,8.432.323.454.367.630,0,7.559.754.906.834.710,39,6,2.276.442.805.114.070,"2295775622061470000,00%"
Red,Clear,High,4.087.016.303.460.780,-7.391.708.331.661.170,68,57.543.450.167.469.600,14.691.746.427.225.800,1,-7.426.833.007.744.010,82,13,6.320.614.643.235.760,"193751017747195000,00%"
Green,Clear,High,4.064.385.699.555.460,-7.374.452.710.568.330,67,51.426.032.430.158.800,8.844.887.678.532.770,1,4.300.407.019.929.250,86,35,31.949.005.745.054.900,"1593642662594430000,00%"
Yellow,Rain,High,40.709.365.907.236.300,-7.388.358.327.519.720,157,7.597.875.074.695.920,20.542.308.034.196.500,0,9.599.384.481.855.460,55,43,26.064.070.093.517.100,"173477773690789000,00%"
Red,Snow,High,4.085.955.175.832.740,-7.386.745.619.750.380,294,43.612.667.892.962.900,6.594.245.232.526.470,0,34.386.841.712.340.400,5,23,1.271.515.816.212.440,"102714924125221000,00%"
Yellow,Snow,High,40.743.266.733.387.100,-7.395.077.759.998.380,226,4.558.021.000.928.180,8.744.090.446.918.830,0,11.722.033.148.543.400,63,42,10.812.365.086.584.500,"2558673938521350000,00%"
Green,Fog,High,4.061.857.809.668.570,-7.376.072.934.286.770,199,2.231.680.473.483.770,8.582.966.835.373.830,0,-3.670.566.691.150.620,46,10,38.605.450.948.783.400,"2592989832553110000,00%"
Yellow,Rain,High,40.741.587.475.667.300,-7.375.881.049.956.850,118,240.453.835.628.698,837.697.220.403.416,0,116.914.926.304.027,67,45,12.506.635.277.236.800,"1952144089940050000,00%"
Green,Snow,High,4.075.628.215.816.750,-7.373.713.714.685.510,270,511.065.977.153.141,62.910.766.109.607.200,0,-5.668.688.179.251.820,82,5,17.571.817.709.656.700,"93991530253131500,00%"
Green,Snow,High,4.062.902.656.616.180,-7.372.006.636.665.450,289,30.822.805.534.180.200,3.251.372.539.647.610,1,-540.884.484.191.575,19,0,3.873.992.523.146.860,"1858720684415500,00%"
Red,Rain,High,4.082.104.251.472.180,-7.394.205.203.870.620,133,760.970.966.036.599,8.144.936.873.811.930,0,-405.536.972.804.486,50,11,46.376.947.948.722.300,"252505602748659000,00%"
Yellow,Fog,High,4.078.040.294.705.620,-7.394.259.567.032.500,116,1.891.017.919.329.320,60.364.286.651.941.300,0,36.678.455.254.477.600,97,35,328.251.087.195.212,"1712086332431230000,00%"
Yellow,Clear,High,4.071.826.942.590.100,-7.387.641.626.267.410,184,4.214.609.869.509.330,49.056.153.139.444.600,1,-42.892.908.828.926,58,2,11.637.255.215.481.100,"1762997296897810000,00%"
Yellow,Fog,High,4.073.849.910.144.390,-73.984.289.817.238,255,3.481.450.159.297.310,4.527.836.042.713.240,0,591.581.691.518.509,41,15,22.938.626.518.347.200,"2230827972313100000,00%"
Yellow,Fog,High,4.073.502.407.055.930,-7.396.013.887.643.250,78,7.545.476.532.367.650,9.298.454.794.383.350,0,9.591.730.689.627.090,96,41,28.574.208.181.924.500,"1459053481977160000,00%"
Green,Fog,High,4.069.726.383.239.960,-7.390.254.983.217.390,283,6.798.478.086.233.930,15.631.130.801.048.500,0,-6.308.791.229.218.340,86,32,2.681.162.572.438.100,"1739388093221390000,00%"
Yellow,Rain,High,40.722.951.414.630.600,-739.972.549.660.495,16,7.507.502.518.253.760,8.220.718.584.959.160,0,-15.721.185.957.207.300,93,7,10.730.871.100.859.400,"281098015864653000,00%"
Yellow,Fog,High,40.620.722.979.041.800,-7.381.810.559.393.550,246,22.928.005.601.329.400,3.258.859.967.299.770,0,34.183.602.822.180.100,34,42,2.759.703.868.981.160,"148429393760494000,00%"
Green,Fog,High,4.066.032.179.281.440,-737.727.488.871.255,203,5.146.489.857.223.180,11.908.977.094.498.000,0,-7.453.017.149.038.880,87,29,4.711.105.617.823.780,"163492558847162000,00%"
Yellow,Snow,High,4.074.480.677.038.580,-7.385.351.675.934.300,220,18.357.095.687.386.400,3.227.876.641.497.520,0,-7.055.422.926.954.070,6,18,1.448.959.084.283.890,"1832095423226610000,00%"
Yellow,Snow,High,4.087.967.864.079.600,-7.399.785.006.285.990,49,5.263.960.908.324.700,9.365.354.840.879.040,1,-7.587.972.067.843.000,91,23,11.466.287.129.622.400,"2662241704153320000,00%"
Red,Fog,High,40.779.248.494.611.200,-7.386.099.676.546.130,146,39.765.919.182.099.500,5.080.650.225.443.870,1,-4.089.854.702.988.140,22,32,14.137.220.391.478.200,"2963690636640370000,00%"
Green,Fog,High,40.867.883.431.988.400,-7.377.059.409.794.620,120,7.114.122.032.611.230,9.944.763.102.027.920,0,-1.153.728.192.000.360,4,25,17.534.147.285.026.000,"605299454586477000,00%"
Red,Fog,High,4.080.132.056.152.020,-7.376.169.936.074.640,222,6.076.854.881.133.240,86.357.013.640.026,0,-25.464.367.257.981.300,40,24,697.379.061.036.059,"787317870802587000,00%"
Red,Clear,High,4.088.158.856.655.860,-7.383.601.207.458.340,204,8.289.248.748.535.820,9.946.862.489.083.850,1,6.244.644.497.957.250,17,6,24.375.071.811.823.600,"258927358910995000,00%"
Yellow,Clear,High,40.893.761.633.453.100,-7.380.681.422.583.370,236,11.795.294.764.717.400,32.992.535.417.871.000,0,-9.436.245.280.421.520,63,5,20.796.346.667.253.100,"160052855225532000,00%"
Green,Clear,High,40.895.109.667.964.900,-737.998.309.142.042,267,9.233.086.667.932.300,7.778.215.366.313.720,0,-3.109.239.682.314.210,3,3,36.650.442.736.112.600,"735747725042079000,00%"
